movie_title,movie_id,color,director_id,num_critic_for_reviews,duration,gross,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio
The Lone Ranger,1210819,Color,2,450.0,150,89289910.0,181792,1,"['horse', 'outlaw', 'texas', 'texas ranger', 'train']",http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711.0,English,USA,PG-13,215000000.0,2013,6.5,2.35
Man of Steel,770828,Color,10,733.0,143,291021565.0,548573,0,"['based on comic book', 'british actor playing american character', 'final battle', 'origin of hero', 'reboot']",http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536.0,English,USA,PG-13,225000000.0,2013,7.2,2.35
The Chronicles of Narnia: Prince Caspian,499448,Color,13,258.0,150,141614023.0,149922,4,"['brother brother relationship', 'brother sister relationship', 'good versus evil', 'king', 'narnia']",http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438.0,English,USA,PG,225000000.0,2008,6.6,2.35
Pirates of the Caribbean: On Stranger Tides,1298650,Color,14,448.0,136,241063875.0,370704,4,"['blackbeard', 'captain', 'pirate', 'revenge', 'soldier']",http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484.0,English,USA,PG-13,250000000.0,2011,6.7,2.35
Men in Black 3,1409024,Color,15,451.0,106,179020854.0,268154,1,"['alien', 'criminal', 'm.i.b.', 'maximum security prison', 'prison']",http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341.0,English,USA,PG-13,225000000.0,2012,6.8,1.85
The Hobbit: The Battle of the Five Armies,2310332,Color,16,422.0,164,255108370.0,354228,0,"['army', 'elf', 'hobbit', 'middle earth', 'orc']",http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802.0,English,New Zealand,PG-13,250000000.0,2014,7.5,2.35
The Amazing Spider-Man,948470,Color,17,599.0,153,262030663.0,451803,0,"['lizard', 'outcast', 'spider', 'spider man', 'teenager']",http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225.0,English,USA,PG-13,230000000.0,2012,7.0,2.35
Robin Hood,955308,Color,18,343.0,156,105219735.0,211765,0,"['1190s', 'archer', 'england', 'king of england', 'robin hood']",http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546.0,English,USA,PG-13,200000000.0,2010,6.7,2.35
The Hobbit: The Desolation of Smaug,1170358,Color,16,509.0,186,258355354.0,483540,6,"['dwarf', 'elf', 'lake town', 'mountain', 'sword and sorcery']",http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951.0,English,USA,PG-13,225000000.0,2013,7.9,2.35
The Golden Compass,385752,Color,19,251.0,113,70083519.0,149019,2,"['children', 'epic', 'friend', 'girl', 'quest']",http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666.0,English,USA,PG-13,180000000.0,2007,6.1,2.35
Titanic,120338,Color,1,315.0,194,658672302.0,793059,0,"['artist', 'love', 'ship', 'titanic', 'wet']",http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528.0,English,USA,PG-13,200000000.0,1997,7.7,2.35
Captain America: Civil War,3498820,Color,20,516.0,147,407197282.0,272670,0,"['based on comic book', 'knife', 'marvel cinematic universe', 'returning character killed off', 'superhero']",http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022.0,English,USA,PG-13,250000000.0,2016,8.2,2.35
Battleship,1440129,Color,21,377.0,131,65173160.0,202382,0,"['box office flop', 'hawaii', 'naval', 'oahu hawaii', 'ship']",http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751.0,English,USA,PG-13,209000000.0,2012,5.9,2.35
Jurassic World,369610,Color,22,644.0,124,652177271.0,418214,0,"['dinosaur', 'disaster film', 'experiment gone wrong', 'jurassic park', 'velociraptor']",http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290.0,English,USA,PG-13,150000000.0,2015,7.0,2.0
Spider-Man 2,316654,Color,23,300.0,135,373377893.0,411164,1,"['death', 'doctor', 'scientist', 'super villain', 'tentacle']",http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303.0,English,USA,PG-13,200000000.0,2004,7.3,2.35
Iron Man 3,1300854,Color,24,608.0,195,408992272.0,557489,3,"['armor', 'explosion', 'human bomb', 'missile attack', 'terrorist']",http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187.0,English,USA,PG-13,200000000.0,2013,7.2,2.35
X-Men: The Last Stand,376994,Color,25,334.0,104,234360014.0,383427,0,"['battle', 'mutant', 'outrage', 'walking through a wall', 'x men']",http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912.0,English,Canada,PG-13,210000000.0,2006,6.8,2.35
Monsters University,1453405,Color,26,376.0,104,268488329.0,235025,0,"['cheating', 'fraternity', 'monster', 'singing in a car', 'university']",http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265.0,English,USA,G,200000000.0,2013,7.3,1.85
Transformers: Revenge of the Fallen,1055369,Color,27,366.0,150,402076689.0,323207,0,"['autobot', 'decepticon', 'machine', 'sun', 'symbol']",http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439.0,English,USA,PG-13,200000000.0,2009,6.0,2.35
Transformers: Age of Extinction,2109248,Color,27,378.0,165,245428137.0,242420,2,"['blockbuster', 'bumblebee the character', 'semi truck and trailer', 'texas', 'truck']",http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918.0,English,USA,PG-13,210000000.0,2014,5.7,2.35
The Amazing Spider-Man 2,1872181,Color,17,495.0,142,202853933.0,321227,0,"['costumed hero', 'death of girlfriend', 'masked vigilante', 'returning character killed off', 'teenager']",http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067.0,English,USA,PG-13,200000000.0,2014,6.7,2.35
Cars 2,1216475,Color,28,304.0,106,191450875.0,101178,0,"['best friend', 'car race', 'conspiracy', 'gadget car', 'spy']",http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283.0,English,USA,G,200000000.0,2011,6.3,2.35
Green Lantern,1133985,Color,29,436.0,123,116593191.0,223393,2,"['autopsy', 'lantern', 'planet', 'ring', 'test pilot']",http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550.0,English,USA,PG-13,200000000.0,2011,5.6,2.35
Toy Story 3,435761,Color,30,453.0,103,414984497.0,544884,3,"['college', 'day care', 'escape', 'teddy bear', 'toy']",http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733.0,English,USA,G,200000000.0,2010,8.3,1.85
Terminator Salvation,438488,Color,31,422.0,118,125320003.0,286095,0,"['death row', 'future', 'machine', 'rescue', 'skynet']",http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974.0,English,USA,PG-13,200000000.0,2009,6.6,2.35
Furious 7,2820852,Color,32,424.0,140,350034110.0,278232,0,"['car falling off a cliff', 'hospital', 'revenge', 'star died before release', 'terrorist']",http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657.0,English,USA,PG-13,190000000.0,2015,7.2,2.35
World War Z,816711,Color,12,654.0,123,202351611.0,465019,0,"['chaos', 'disease', 'infection', 'pandemic', 'zombie']",http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995.0,English,USA,PG-13,190000000.0,2013,7.0,2.35
X-Men: Days of Future Past,1877832,Color,11,539.0,149,233914986.0,514125,7,"['dystopia', 'super strength', 'supernatural power', 'time paradox', 'time travel']",http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752.0,English,USA,PG-13,200000000.0,2014,8.0,2.35
Star Trek Into Darkness,1408101,Color,33,590.0,132,228756232.0,395573,0,"['admiral', 'captain', 'manhunt', 'mission', 'space']",http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171.0,English,USA,PG-13,190000000.0,2013,7.8,2.35
Jack the Giant Slayer,1351685,Color,11,338.0,114,65171860.0,106416,1,"['bean', 'giant', 'king', 'no opening credits', 'princess']",http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205.0,English,USA,PG-13,195000000.0,2013,6.3,2.35
Prince of Persia: The Sands of Time,473075,Color,34,306.0,116,90755643.0,222403,2,"['alamut', 'dagger', 'king', 'persia', 'princess']",http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453.0,English,USA,PG-13,200000000.0,2010,6.6,2.35
Pacific Rim,1663662,Color,35,575.0,131,101785482.0,381148,0,"['giant monster', 'kaiju', 'pilot', 'portal', 'robot']",http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106.0,English,USA,PG-13,190000000.0,2013,7.0,1.85
Transformers: Dark of the Moon,1399103,Color,27,428.0,154,352358779.0,326180,2,"['autobot', 'decepticon', 'job interview', 'moon', 'spacecraft']",http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899.0,English,USA,PG-13,195000000.0,2011,6.3,2.35
Indiana Jones and the Kingdom of the Crystal Skull,367882,Color,36,470.0,122,317011114.0,333847,2,"['cult figure', 'femme fatale', 'indiana jones', 'unsubtitled foreign language', 'year 1957']",http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054.0,English,USA,PG-13,185000000.0,2008,6.2,2.35
The Good Dinosaur,1979388,Color,37,298.0,93,123070338.0,62836,0,"['apatosaurus', 'asteroid', 'dinosaur', 'fear', 'river']",http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345.0,English,USA,PG,0.0,2015,6.8,2.35
Brave,1217209,Color,38,488.0,93,237282182.0,273556,0,"['archery', 'coming of age', 'female warrior', 'princess', 'rebellious daughter']",http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428.0,English,USA,PG,185000000.0,2012,7.2,2.35
Star Trek Beyond,2660888,Color,39,322.0,122,130468626.0,53607,4,"['hatred', 'sequel', 'space opera', 'star trek', 'third part']",http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432.0,English,USA,PG-13,185000000.0,2016,7.5,2.35
WALL·E,910970,Color,6,421.0,98,223806889.0,718837,0,"['earth', 'obesity', 'plant', 'robot', 'soil']",http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043.0,English,USA,G,180000000.0,2008,8.4,2.35
Rush Hour 3,293564,Color,25,162.0,91,140080850.0,121084,2,"['ambassador', 'assassination', 'chinese', 'french', 'triad']",http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221.0,English,USA,PG-13,140000000.0,2007,6.2,2.35
2012,1190080,Color,40,367.0,158,166112167.0,283418,0,"['ark', 'catastrophe', 'geologist', 'president', 'writer']",http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,200000000.0,2009,5.8,2.35
A Christmas Carol,1067106,Color,41,240.0,96,137850096.0,72809,0,"['charles dickens', 'christmas', 'christmas eve', 'ghost', 'scrooge']",http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249.0,English,USA,PG,200000000.0,2009,6.8,2.35
Jupiter Ascending,1617661,Color,42,384.0,127,47375327.0,139593,1,"['box office flop', 'critically bashed', 'planet earth', 'space opera', 'woman in bra and panties']",http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720.0,English,USA,PG-13,176000000.0,2015,5.4,2.35
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",363771,Color,13,284.0,150,291709845.0,286506,5,"['hide and seek', 'lion', 'magic', 'professor', 'snow']",http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463.0,English,USA,PG,180000000.0,2005,6.9,2.35
X-Men: Apocalypse,3385516,Color,11,396.0,144,154985087.0,148379,6,"['mutant', 'superhero', 'superhero team', 'x men', 'year 1983']",http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622.0,English,USA,PG-13,178000000.0,2016,7.3,2.35
The Dark Knight,468569,Color,4,645.0,152,533316061.0,1676169,0,"['based on comic book', 'dc comics', 'psychopath', 'star died before release', 'urban setting']",http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667.0,English,USA,PG-13,185000000.0,2008,9.0,2.35
Up,1049413,Color,43,408.0,96,292979556.0,665575,1,"['balloon', 'house', 'promise', 'retirement', 'skeleton']",http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704.0,English,USA,PG,175000000.0,2009,8.3,1.85
Monsters vs. Aliens,892782,Color,44,219.0,94,198332128.0,114553,2,"['alien', 'alien invasion', 'alien space craft', 'giant', 'giantess']",http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187.0,English,USA,PG,175000000.0,2009,6.5,2.35
Iron Man,371746,Color,45,486.0,126,318298180.0,696338,3,"['afghanistan', 'billionaire', 'inventor', 'playboy', 'u.s. air force']",http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,140000000.0,2008,7.9,2.35
Hugo,970179,Color,46,682.0,126,73820094.0,245333,0,"['automaton', 'mechanical', 'railway station', 'steampunk', 'train']",http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678.0,English,USA,PG,170000000.0,2011,7.5,1.85
Wild Wild West,120891,Color,15,85.0,106,113745408.0,129601,2,"['buddy movie', 'general', 'inventor', 'steampunk', 'utah']",http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648.0,English,USA,PG-13,170000000.0,1999,4.8,1.85
The Mummy: Tomb of the Dragon Emperor,859163,Color,47,264.0,112,102176165.0,117927,2,"['army', 'china', 'emperor', 'mummy', 'shangri la']",http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501.0,English,USA,PG-13,145000000.0,2008,5.2,2.35
Suicide Squad,1386697,Color,48,418.0,123,161087183.0,118992,8,"['based on comic book', 'critically bashed', 'father daughter relationship', 'reference to superman', 'super villain']",http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971.0,English,USA,PG-13,175000000.0,2016,6.9,2.35
Evan Almighty,413099,Color,49,186.0,96,100289690.0,115099,0,"['ark', 'change', 'congressman', 'depiction of god', 'flood']",http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257.0,English,USA,PG,175000000.0,2007,5.4,2.35
Edge of Tomorrow,1631867,Color,50,585.0,113,100189501.0,431620,1,"['alien', 'combat', 'dying repeatedly', 'end of the world', 'time loop']",http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741.0,English,USA,PG-13,178000000.0,2014,7.9,2.35
Waterworld,114898,Color,51,91.0,176,88246220.0,144337,0,"['future', 'sail', 'sea', 'smoker', 'water']",http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309.0,English,USA,PG-13,175000000.0,1995,6.1,1.85
G.I. Joe: The Rise of Cobra,1046173,Color,52,250.0,118,150167630.0,174578,4,"['cobra', 'gi joe', 'snake', 'train', 'warhead']",http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534.0,English,USA,PG-13,175000000.0,2009,5.8,2.35
Inside Out,2096673,Color,43,536.0,95,356454367.0,345198,1,"['anger', 'joy', 'memory', 'running away', 'sadness']",http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773.0,English,USA,PG,175000000.0,2015,8.3,1.85
Iron Man 2,1228705,Color,45,453.0,124,312057433.0,522371,4,"['hammer', 'military', 'monaco', 'revenge', 'tony stark']",http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723.0,English,USA,PG-13,200000000.0,2010,7.0,2.35
Snow White and the Huntsman,1735898,Color,53,416.0,132,155111815.0,228554,0,"['evil queen', 'fairy tale', 'magic', 'queen', 'snow white']",http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710.0,English,USA,PG-13,170000000.0,2012,6.1,2.35
Maleficent,1587310,Color,54,401.0,97,241407328.0,252257,2,"['curse', 'dark fantasy', 'fairy', 'king', 'kingdom']",http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634.0,English,USA,PG,180000000.0,2014,7.0,2.35
Dawn of the Planet of the Apes,2103281,Color,55,521.0,130,208543795.0,317542,0,"['ape', 'dam', 'leader', 'post apocalypse', 'sequel']",http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620.0,English,USA,PG-13,170000000.0,2014,7.6,1.85
47 Ronin,1335975,Color,56,218.0,128,38297305.0,116994,2,"['box office flop', 'ronin', 'samurai', 'shogun', 'tournament']",http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324.0,English,USA,PG-13,175000000.0,2013,6.3,2.35
Captain America: The Winter Soldier,1843866,Color,20,576.0,136,259746958.0,496749,1,"['conspiracy', 'heroism', 'megalomaniac', 'super soldier', 'world domination']",http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742.0,English,USA,PG-13,170000000.0,2014,7.8,2.35
Shrek Forever After,892791,Color,57,226.0,93,238371987.0,138661,2,"['alternate world', 'fairy tale parody', 'female warrior', 'ogre', 'true love']",http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173.0,English,USA,PG,165000000.0,2010,6.4,2.35
Tomorrowland,1964418,Color,58,443.0,130,93417865.0,128306,2,"['boy genius', 'futuristic city', 'inventor', 'teenage girl', 'time travel']",http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497.0,English,USA,PG,190000000.0,2015,6.5,2.2
Big Hero 6,2245084,Color,59,384.0,102,222487711.0,279093,0,"['high tech', 'martial arts', 'masked man', 'robot', 'superhero']",http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433.0,English,USA,PG,165000000.0,2014,7.9,2.39
Wreck-It Ralph,1772341,Color,60,377.0,101,189412677.0,272534,1,"['arcade', 'candy', 'glitch', 'king', 'medal']",http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345.0,English,USA,PG,165000000.0,2012,7.8,2.35
The Polar Express,338348,Color,41,188.0,100,665426.0,120798,0,"['boy', 'christmas', 'christmas eve', 'north pole', 'train']",http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444.0,English,USA,G,165000000.0,2004,6.6,2.35
Independence Day: Resurgence,1628841,Color,40,286.0,120,102315545.0,58137,0,"['alien', 'battle', 'defense', 'independence day', 'mothership']",http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520.0,English,USA,PG-13,165000000.0,2016,5.5,2.35
How to Train Your Dragon,892769,Color,61,288.0,98,217387997.0,485430,0,"['dragon', 'island', 'training', 'viking', 'village']",http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,492.0,English,USA,PG,165000000.0,2010,8.2,2.35
Terminator 3: Rise of the Machines,181852,Color,62,280.0,109,150350192.0,305340,0,"['drifter', 'exploding truck', 'future', 'machine', 'skynet']",http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676.0,English,USA,R,200000000.0,2003,6.4,2.35
Guardians of the Galaxy,2015381,Color,63,653.0,121,333130696.0,682155,3,"['bounty hunter', 'outer space', 'raccoon', 'talking animal', 'tree']",http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1097.0,English,USA,PG-13,170000000.0,2014,8.1,2.35
Interstellar,816692,Color,4,712.0,169,187991439.0,928227,1,"['black hole', 'father daughter relationship', 'saving the world', 'space travel', 'wormhole']",http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2725.0,English,USA,PG-13,165000000.0,2014,8.6,2.35
Inception,1375666,Color,4,642.0,148,292568851.0,1468200,0,"['ambiguous ending', 'corporate espionage', 'dream', 'subconscious', 'thief']",http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,2803.0,English,USA,PG-13,160000000.0,2010,8.8,2.35
The Hobbit: An Unexpected Journey,903624,Color,16,645.0,182,303001229.0,637246,0,"['dragon', 'dwarf', 'hobbit', 'orc', 'wizard']",http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,1367.0,English,USA,PG-13,180000000.0,2012,7.9,2.35
The Curious Case of Benjamin Button,421715,Color,64,362.0,166,127490802.0,459346,2,"['deformed baby', 'diary', 'lingerie slip', 'older man younger woman relationship', 'premature aging']",http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,822.0,English,USA,PG-13,150000000.0,2008,7.8,2.35
X-Men: First Class,1270798,Color,65,500.0,132,146405371.0,518537,3,"['cia', 'cia agent', 'mutant', 'nuclear war', 'professor']",http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,698.0,English,USA,PG-13,160000000.0,2011,7.8,2.35
The Hunger Games: Mockingjay - Part 2,1951266,Color,66,389.0,137,281666058.0,166137,1,"['death of sister', 'dystopia', 'execution', 'rebellion', 'revolution']",http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,383.0,English,USA,PG-13,160000000.0,2015,6.6,2.35
The Sorcerer's Apprentice,963966,Color,67,235.0,109,63143812.0,124185,0,"['chosen one', 'enchanted object', 'love', 'spell', 'training']",http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,238.0,English,USA,PG,150000000.0,2010,6.1,2.35
Poseidon,409182,Color,68,231.0,98,60655503.0,82380,0,"['cruise', 'escape', 'ocean', 'passenger', 'water']",http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,629.0,English,USA,PG-13,160000000.0,2006,5.6,2.35
Alice Through the Looking Glass,2567026,Color,69,218.0,113,76846624.0,21352,1,"['clock', 'dark fantasy', 'mad hatter', 'queen', 'sequel']",http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131.0,English,USA,PG,170000000.0,2016,6.4,1.85
Shrek the Third,413267,Color,70,227.0,93,320706665.0,211971,2,"['disney spoof', 'fairy tale', 'prince', 'princess', 'tough guy']",http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,326.0,English,USA,PG,160000000.0,2007,6.1,1.85
Warcraft,803096,Color,71,275.0,123,46978995.0,111609,0,"['based on video game', 'fictional language', 'fictional war', 'orc', 'sword and sorcery']",http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,781.0,English,USA,PG-13,160000000.0,2016,7.3,2.35
Terminator Genisys,1340138,Color,72,474.0,126,89732035.0,188457,2,"['alternate timeline', 'cyborg', 'future', 'robot', 'time machine']",http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,867.0,English,USA,PG-13,155000000.0,2015,6.6,2.35
The Chronicles of Narnia: The Voyage of the Dawn Treader,980970,Color,73,228.0,113,104383624.0,106446,4,"['dragon', 'king', 'mouse', 'quest', 'warrior']",http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,227.0,English,USA,PG,155000000.0,2010,6.3,1.78
Pearl Harbor,213149, Black and White,27,191.0,184,198539855.0,254111,0,"['air raid', 'black smoke', 'japanese military', 'japanese navy', 'sunday']",http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,1999.0,English,USA,PG-13,140000000.0,2001,6.1,2.35
Transformers,418279,Color,27,396.0,144,318759914.0,513158,0,"['alien contact', 'autobot', 'decepticon', 'robot vs. robot', 'teenage hero']",http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,1782.0,English,USA,PG-13,150000000.0,2007,7.1,2.35
Alexander,346491,Color,74,248.0,206,34293771.0,138863,3,"['ancient greece', 'conquest', 'greek', 'greek myth', 'king']",http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390.0,English,Germany,R,155000000.0,2004,5.5,2.35
Harry Potter and the Order of the Phoenix,373889,Color,9,329.0,138,292000866.0,355137,3,"['battle', 'magic', 'school', 'teacher', 'wizard']",http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,1108.0,English,UK,PG-13,150000000.0,2007,7.5,2.35
Harry Potter and the Goblet of Fire,330373,Color,34,295.0,157,289994397.0,385670,1,"['fire', 'goblet', 'magic', 'tournament', 'wizard']",http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,1896.0,English,UK,PG-13,150000000.0,2005,7.6,2.35
