actors_id,actors
325,Maria Grazia Cucinotta
326,Desmond Llewelyn
327,Lee Ingleby
328,James D'Arcy
329,David Threlfall
330,Peter Mensah
331,Philip Michael Thomas
332,Don Johnson
333,John Diehl
334,Penelope Wilton
335,Mark Rylance
336,Rafe Spall
337,Lukas Haas
338,Snoop Dogg
339,Ben Schwartz
340,Stephen Root
341,Annet Mahendru
342,Andy Richter
343,Matt Damon
344,Albert Finney
345,T.I.
346,Sandra Ellis Lafferty
347,Taylor Lautner
348,Lisa Ann Walter
349,Rick Gonzalez
350,Henry Rollins
351,Jordi Mollà
352,Constance Marie
353,Amy Sedaris
354,August Diehl
355,Emma Watson
356,Logan Lerman
357,Mackenzie Crook
358,Toby Jones
359,Tony Curran
360,Eddie Baroo
361,D.B. Sweeney
362,Alfre Woodard
363,Della Reese
364,Dave Legeno
365,Ralph Ineson
366,Will Ferrell
367,Verne Troyer
368,Stephanie Szostak
369,Shin'ya Tsukamoto
370,Mark Chinnery
371,Atsuko Maeda
372,Alfred Enoch
373,Seth Gabel
374,Jürgen Prochnow
375,Rachel Crow
376,Miguel Ferrer
377,Jeffrey Garcia
378,Bruce Davison
379,Aaron Stanford
380,Paul Anderson
381,Vladimir Kulich
382,Clive Russell
383,Scott Glenn
384,Stacy Keach
385,Michael Gough
386,John Glover
387,T.J. Thyne
388,Clint Howard
389,Molly Shannon
390,Dougray Scott
391,Mary Elizabeth Mastrantonio
392,Karen Allen
393,Bob Gunton
394,Ioan Gruffudd
395,Suraj Sharma
396,Tabu
397,Matt Long
398,Peter Fonda
399,Riz Ahmed
400,Ato Essandoh
401,Demi Moore
402,Justin Theroux
403,Nathan Lane
404,Melanie Griffith
405,Alexa Davalos
406,Christina Cox
407,Kick Gurry
408,Scott Porter
409,Nicholas Elia
410,Domenick Lombardozzi
411,Shelley Conn
412,Teyonah Parris
413,Marc Blucas
414,Zoë Bell
415,Hayden Christensen
416,James Coburn
417,Tao Okamoto
418,Rila Fukushima
419,Ian McDiarmid
420,Santiago Segura
421,Alain Delon
422,Vanessa Hessler
423,Roger Willie
424,Noah Emmerich
425,Basher Savage
426,Phaldut Sharma
427,Amy Warren
428,Grant Heslov
429,Jamie Renée Smith
430,Noel Fisher
431,Stephen Amell
432,Archie Panjabi
433,Vincent Schiavelli
434,Joe Don Baker
435,Adam Baldwin
436,Julia Roberts
437,Mini Anden
438,Stephanie March
439,Theo James
440,Mekhi Phifer
441,Adam Scott
442,Frances Conroy
443,Catherine Tate
444,James Corden
445,Olly Alexander
446,Chad L. Coleman
447,Dirk Benedict
448,George Peppard
449,Dwight Schultz
450,Sullivan Stapleton
451,Tim Gunn
452,Mahadeo Shivraj
453,Madison McKinley
454,Roseanne Barr
455,G.W. Bailey
456,Naomi Watts
457,Torey Michael Adkins
458,Olga Fonda
459,Nancy O'Dell
460,Jacob Tremblay
461,Vanessa Matsui
462,Jason Patric
463,Lois Chiles
464,Moises Arias
465,Aramis Knight
466,Jonathan Sadowski
467,Cyril Raffaelli
468,Billy Boyd
469,Kelly Preston
470,Spencer Breslin
471,Chi McBride
472,Philip Glenister
473,Chazz Palminteri
474,Jeffrey Jones
475,Jenifer Lewis
476,Anika Noni Rose
477,Donald Glover
478,Benedict Wong
479,Mathew Buck
480,Warren Beatty
481,Del Zamora
482,Garry Shandling
483,Robert Duvall
484,Connie Nielsen
485,Oliver Reed
486,Frank Grillo
487,Jessica Capshaw
488,Jenette Goldstein
489,S. Epatha Merkerson
490,Ruby Dee
491,Denzel Washington
492,RZA
493,Tia Carrere
494,Jamie Lee Curtis
495,Tom Arnold
496,Michael Rispoli
497,Blythe Danner
498,Robert De Niro
499,Teri Polo
500,Derek Jeter
501,Vanessa Williams
502,Roma Maffia
503,Jason Alexander
504,Bill Fagerbakke
505,Wendie Malick
506,Eartha Kitt
507,John Fiedler
508,Sylvester Stallone
509,Armando Riesco
510,Annie Parisse
511,Ed Speleers
512,Gary Lewis
513,Ryan Corr
514,Catherine O'Hara
515,Max Records
516,Emma Kenney
517,Troy Evans
518,Mark Margolis
519,Udo Kier
520,Stephen Collins
521,Rene Auberjonois
522,Debi Mazar
523,Patrick Muldoon
524,Jake Busey
525,Seth Gilliam
526,Jim Sturgess
527,Abbie Cornish
528,Anthony LaPaglia
529,Christopher Heyerdahl
530,Alex Borstein
531,Michael Wincott
532,Anna Friel
533,Bobb'e J. Thompson
534,Traylor Howard
535,Jamie Kennedy
536,Ben Stein
537,Benjamin Walker
538,Frank Dillane
539,Randy Quaid
540,Burt Young
541,Sean Huze
542,Igal Naor
543,Venus Schultheis
544,Francesca Capaldi
545,Bill Melendez
546,Felicity Huffman
547,Ben Gazzara
548,Campbell Scott
549,Patricia Velasquez
550,Ni Ni
551,Shigeo Kobayashi
552,Zooey Deschanel
553,Jon Heder
554,Jon Lovitz
555,Roger Bart
556,Thomas Middleditch
557,Katherine LaNasa
558,Milla Jovovich
559,Liza Minnelli
560,Chris Noth
561,Kristin Davis
562,Rosie Perez
563,Frank Welker
564,Elton John
565,Drake
566,Alexander Gould
567,Bernard Hill
568,Olivia Williams
569,Chris Barrie
570,Trevor Morgan
571,Michael Jeter
572,Alessandro Nivola
573,David Oyelowo
574,Tod Fennell
575,Joan Plowright
576,Cole Hauser
577,Megalyn Echikunwoke
578,Craig T. Nelson
579,Holly Hunter
580,Lou Romano
581,Christopher Masterson
582,Matthew Modine
583,Linda Fiorentino
584,Ethan Suplee
585,John Lone
586,Mei Melançon
587,Harris Yulin
588,Amber Valletta
589,Miranda Otto
590,Will Forte
591,Al Roker
592,Maile Flanagan
593,Denis Leary
594,Kelly Keaton
595,Adrian Martinez
596,Joey Slotnick
597,LL Cool J
598,Bill Murray
599,Kelly Lynch
600,Harvey Fierstein
601,June Foray
602,Brandon T. Jackson
603,Goran Visnjic
604,Joely Richardson
605,Aldis Hodge
606,Kevin Chamberlin
607,Robert Maillet
608,Jim Varney
609,Cree Summer
610,Joshua Mikel
611,Bella Thorne
612,Jesse McCartney
613,Sayed Badreya
614,Adam Sandler
615,Kevin Nealon
616,Haley Joel Osment
617,Kevin Sussman
618,Rachael Harris
619,Marsha Thomason
620,Marc John Jefferies
621,Tom Skerritt
622,Larry King
623,Kim Dickens
624,Greg Grunberg
625,George Harris
626,Curtiss Cook
627,Michael Wright
628,Leven Rambin
629,Sanaa Lathan
630,Michael Byrne
631,Alun Armstrong
632,Velibor Topic
633,Stephen Dillane
634,Catherine McCormack
635,Kim Delaney
636,Wanda Sykes
637,Will.i.am
638,Anne Heche
639,Gaby Hoffmann
640,Natascha McElhone
641,Christian Camargo
642,Lex Shrapnel
643,Reg E. Cathey
644,Tim Blake Nelson
645,Tim Heidecker
646,Bruce McGill
647,Paddy Considine
648,Rosemarie DeWitt
649,Shirley Henderson
650,Richard E. Grant
651,Michael Angarano
652,Alan Ruck
653,Jami Gertz
654,Paul Sanchez
655,Nick Searcy
656,Elizabeth Daily
657,Joan Allen
658,Oksana Akinshina
659,Dean Stockwell
660,Elliott Gould
661,Teala Dunn
662,Jeff Bennett
663,Fred Tatasciore
664,Scott Thompson
665,Caroline Dhavernas
666,Hettienne Park
667,Jim Carter
668,Gabourey Sidibe
669,Rufus Sewell
670,Sarah Parish
671,Lisa Bonet
672,Hunter Parrish
673,Meryl Streep
674,Zoe Kazan
675,Al Pacino
676,Debra Messing
677,Jane Krakowski
678,Gabriel Thomson
679,Bob Hoskins
680,Clemens Schick
681,Tom Noonan
682,F. Murray Abraham
683,Li Gong
684,Karl Yune
685,Zachery Ty Bryan
686,Amber Stevens West
687,Nikki Griffin
688,Imelda Staunton
689,Michael Palin
690,Rick Worthy
691,Raymond Cruz
692,Jsu Garcia
693,Ben Vereen
694,Roy Scheider
695,Max Wright
696,Danny Woodburn
697,Kieran Culkin
698,Anna Kendrick
699,Ellen Wong
700,Tchéky Karyo
701,Rekha Sharma
702,Janet Jackson
703,Larry Miller
704,Chris Elliott
705,Linda Cardellini
706,Sarah Michelle Gellar
707,Miguel A. Núñez Jr.
708,Cameron Monaghan
709,Julie Kavner
710,Katt Williams
711,Tom Hulce
712,Iván Kamarás
713,Seth MacFarlane
714,Brian Steele
715,Anthony Edwards
716,Michael Rapaport
717,Vanessa Redgrave
718,Anthony Reynolds
719,Mason Lee
720,Mike Tyson
721,Andrew Bryniarski
722,Jason Scott Lee
723,David Ogden Stiers
724,Garrick Hagon
725,Steve Reevis
726,Dalip Singh
727,Lauren Gottlieb
728,Paul Michael Glaser
729,Joseph Sikora
730,Nellie Sciutto
731,Katy Mixon
732,Drew Carey
733,Paula Abdul
734,Carmen Electra
735,Kathryn Joosten
736,Jennifer Jason Leigh
737,Liam Aiken
738,Bailee Madison
739,Royce Johnson
740,Elden Henson
741,Charlie Cox
742,Monica Potter
743,Dave Chappelle
744,Ethan Embry
745,Cameron Boyce
746,Jodi Benson
747,Sam Lloyd
748,Lili Taylor
749,Virginia Madsen
750,Michael Jordan
751,Henry Czerny
752,Roger Rees
753,William Abadie
754,Alex McArthur
755,Michael Potts
756,Jim Parrack
757,Tom Cavanagh
758,Josh Robert Thompson
759,Charles Napier
760,Zahn McClarnon
761,Leslie Bibb
762,Nicholas Turturro
763,June Lockhart
764,Dorian Missick
765,Jose Pablo Cantillo
766,Michael Brandon
767,Fran Drescher
768,Agnes Moorehead
769,Elizabeth Montgomery
770,Dick York
771,Penn Jillette
772,Quincy Jones
773,Russi Taylor
774,Alan Young
775,Josh Stamberg
776,Mika Boorem
777,David Paymer
778,Nick Chinlund
779,Michael Emerson
780,Adrian Alonso
781,Annabella Sciorra
782,Rosalind Chao
783,Michael McKean
784,Roxane Duran
785,Nissim Renard
786,Julie-Marie Parmentier
787,Harold Perrineau
788,Bart the Bear
789,Devin Ratray
790,Boris Kodjoe
791,Jon Foster
792,Bruce Thomas
793,Viggo Mortensen
794,Amy Brenneman
795,Tiya Sircar
796,Charlie Rowe
797,Madison Rothschild
798,Richard Tyson
799,John Topor
800,Jenna Elfman
801,Heather Locklear
802,Elio Germano
803,Fergie
804,Andrea Di Stefano
805,Brian Anthony Wilson
806,Larenz Tate
807,Adam Goldberg
808,Glenne Headly
809,Joseph Gilgun
810,Lotte Verbeek
811,Val Kilmer
812,Bob Neill
813,Tom Sizemore
814,Adam LeFevre
815,Mia Farrow
816,Penny Balfour
817,Jacques Perrin
818,Pedro Armendáriz Jr.
819,Rie Miyazawa
820,Jemima Rooper
821,Currie Graham
822,Sasha Roiz
823,Dylan Schombing
824,David Hoffman
825,Sariann Monaco
826,Ben Diskin
827,Austin Pendleton
828,Niketa Calame
829,Melissa Sturm
830,Emily Watson
831,Tim Meadows
832,Mo Gallini
833,Veronica Cartwright
834,Jeremy Northam
835,Jonathan Winters
836,Eric Stonestreet
837,Albert Brooks
838,Max Ryan
839,Miranda Cosgrove
840,Mary McDonnell
841,Richard Schiff
842,Ariana Richards
843,Vanessa Lee Chester
844,Danny Huston
845,Rita Davies
846,Tyler Mane
847,Michael Biehn
848,Bokeem Woodbine
849,Ray Romano
850,Jay Leno
851,Peter Dante
852,Allen Covert
853,Elijah Kelley
854,Jerry Stiller
855,Paul Dooley
856,Alan Ford
857,Izabella Scorupco
858,Michael Kelly
859,Barry Shabaka Henley
860,Matt Ryan
861,Charles Halford
862,Kevin Dillon
863,Yvette Nicole Brown
864,Nicholas Lea
865,Ben Mendelsohn
866,Jud Tylor
867,Martin Scorsese
868,Jennifer Hudson
869,Loretta Devine
870,Brent Sexton
871,Adam Arkin
872,Damian Lewis
873,Christina Milian
874,Moritz Bleibtreu
875,Tom Selleck
876,Elizabeth Debicki
877,Christian Berkel
878,Paz Vega
879,Sarah Steele
880,Brían F. O'Byrne
881,Azura Skye
882,Ben Cross
883,John Gielgud
884,Geoffrey Palmer
885,Randall Duk Kim
886,Daniel Sharman
887,Steve Byers
888,Ransford Doherty
889,Lena Olin
890,Sean Pertwee
891,Kiernan Shipka
892,Lou Taylor Pucci
893,Bridget Fonda
894,Megan Mullally
895,Mike Starr
896,John Heard
897,James Pickens Jr.
898,Peter Coyote
899,Huey Lewis
900,Keegan-Michael Key
901,Alexis Dziena
902,Maude Apatow
903,Frances Fisher
904,Tim McGraw
905,Gary Cole
906,Raven-Symoné
907,Kevin Pollak
908,Patrick McGoohan
909,Mhairi Calvey
910,James Robinson
911,Brian Geraghty
912,James Morrison
913,Yeardley Smith
914,Marcia Wallace
915,Hal Holbrook
916,Martin Landau
917,Jeffrey DeMunn
918,Estella Warren
919,Cristián de la Fuente
920,Jean-Claude Dreyfus
921,David Gant
922,Oanh Nguyen
923,Peter Boyle
924,Merritt Wever
925,Rory Culkin
926,Cherry Jones
927,Jennifer Saunders
928,Conrad Vernon
929,Cheech Marin
930,George Carlin
931,Hector Elizondo
932,Eve
933,Leila Arcieri
934,Billy West
935,Tim Conway
936,Ingrid Bolsø Berdal
937,John Amos
938,Franco Nero
939,Josh Charles
940,Katia Winter
941,Nicole Beharie
942,Lyndie Greenwood
943,Ivana Milicevic
944,Freddy Rodríguez
945,Bob Balaban
946,Raoul Bova
947,Bridgit Mendler
948,Chris Klein
949,Radha Mitchell
950,Jonathan Frakes
951,LeVar Burton
952,Michael Dorn
953,Alison Lohman
954,Peter Gerety
955,David Hyde Pierce
956,Ron Rifkin
957,Jeremy Irvine
958,Todd Graff
959,John Buffalo Mailer
960,Sarah Gadon
961,Zach McGowan
962,Mark Valley
963,Nathaniel Parker
964,Victor Wong
965,Chelcie Ross
966,Brooke Smith
967,Garcelle Beauvais
968,Ben Daniels
969,Dexter Fletcher
970,Phill Lewis
971,Tate Taylor
972,Stephen Rea
973,Sandrine Holt
974,Shane Hartline
975,James Martin Kelly
976,Celina Beach
977,Rory Cochrane
978,Talisa Soto
979,Gregg Henry
980,Minnie Driver
981,Brandy Norwood
982,Ron Howard
983,Lea Michele
984,Jim Belushi
985,Archie Kao
986,Brandon Molale
987,Laurence Olivier
988,Indira Varma
989,Charlotte Rampling
990,Neil Maskell
991,50 Cent
992,Matt Gerald
993,Luke Newberry
994,Roxanne McKee
995,Gaia Weiss
996,Philip Baker Hall
997,Gary Farmer
998,Robert Blake
999,Vincent Pastore
1000,Aida Turturro
1001,Ashraf Barhom
1002,Max Minghella
1003,Rupert Evans
1004,Jenna Fischer
1005,Stephen Merchant
1006,Michael Raymond-James
1007,Graham McTavish
1008,Simon McBurney
1009,Michael Gaston
1010,Kevin McNally
1011,Maury Chaykin
1012,Kaitlyn Dever
1013,Nancy Travis
1014,Mitch Pileggi
1015,Nonso Anozie
1016,Owen Teale
1017,Lisa Edelstein
1018,Reece Thompson
1019,Marcus Chong
1020,Gloria Foster
1021,Miko Hughes
1022,Kathleen Quinlan
1023,Rachel Ticotin
1024,Ronny Cox
1025,Marshall Bell
1026,Aisha Tyler
1027,Judge Reinhold
1028,Eric Lloyd
1029,Jean Stapleton
1030,Andrea Savage
1031,Tony Amendola
1032,Stuart Wilson
1033,Matt Walsh
1034,Courtney B. Vance
1035,Clint Eastwood
1036,William Devane
1037,Leon
1038,Janine Turner
1039,Samantha Mathis
1040,Lily Tomlin
1041,Daniel von Bargen
1042,Jay Hernandez
1043,Marian Seldes
1044,Horatio Sanz
1045,Vinessa Shaw
1046,Sydney Pollack
1047,Quvenzhané Wallis
1048,David Zayas
1049,Gerald McRaney
1050,Abigail Spencer
1051,Warren Christie
1052,Natasha Lyonne
1053,Jennifer Grey
1054,Lea Thompson
1055,William Smith
1056,Adrian Lester
1057,Maura Tierney
1058,Paul Guilfoyle
1059,Craig Bierko
1060,Melina Kanakaredes
1061,Yvonne Zima
1062,Pamela Reed
1063,Michael Kitchen
1064,Jonah Bobo
1065,Meat Loaf
1066,Eugenie Bondurant
1067,Kimberly Williams-Paisley
1068,Frances O'Connor
1069,Michael Moore
1070,Kevin Grevioux
1071,Caitlin Stasey
1072,Barney Clark
1073,Ian McNeice
1074,Tony Noble
1075,Bill Cobbs
1076,Martin Henderson
1077,Tom Goodman-Hill
1078,David Calder
1079,Michael Smiley
1080,Simon Chandler
1081,Josh Zuckerman
1082,Robert Wagner
1083,Dee Bradley Baker
1084,Bob Peck
1085,Isabella Rossellini
1086,Dean Jones
1087,Peng Lin
1088,Si Won Choi
1089,Sung-jun Yoo
1090,Brittany Daniel
1091,John Witherspoon
1092,David Keith
1093,Shawna Waldron
1094,Romany Malco
1095,Ice-T
1096,Craig Stark
1097,Elizabeth Perkins
1098,Chelsea Handler
1099,Vincent Regan
1100,Kathleen Turner
1101,Eric Dane
1102,Haley Bennett
1103,Tichina Arnold
1104,Jill Hennessy
1105,Drew Sidora
1106,Patrick Fugit
1107,Emily Ratajkowski
1108,Josh Hamilton
1109,Nicky Naudé
1110,Timothy Hutton
1111,Clarence Williams III
1112,Peter Krause
1113,Aria Noelle Curzon
1114,Eden Riegel
1115,Anjelica Huston
1116,Patrick Fischler
1117,Fred Ward
1118,Carol Ann Susi
1119,Miriam Margolyes
1120,Jimmy Shubert
1121,Alicia Witt
1122,Woody Allen
1123,Anne Bancroft
1124,Tasha Smith
1125,Tom Welling
1126,Alyson Stoner
1127,Ki Hong Lee
1128,Rosa Salazar
1129,Jaqueline Fleming
1130,Jessalyn Gilsig
1131,Billy Burke
1132,Jacinda Barrett
1133,Saffron Burrows
1134,Mekia Cox
1135,Misha Gabriel Hamilton
1136,Judith Hill
1137,Monique Gabriela Curnen
1138,Griffin Kane
1139,Dyan Cannon
1140,Bill Hunter
1141,Dawn French
1142,John Hodgman
1143,Kristen Connolly
1144,Fred Williamson
1145,Harvey Korman
1146,Jake Lloyd
1147,James Babson
1148,Elaine Stritch
1149,Sophie Okonedo
1150,Stockard Channing
1151,Oliver Hudson
1152,Bianca Kajlich
1153,Adhir Kalyan
1154,Ritchie Coster
1155,Brenda Bakke
1156,Peter Greene
1157,Patrick Kilpatrick
1158,Colm Feore
1159,Gemma Chan
1160,Julian Kostov
1161,Gary Dourdan
1162,Ned Beatty
1163,Tate Donovan
1164,Louis Ferreira
1165,Isaac Hempstead Wright
1166,Tracy Morgan
1167,Dianne Wiest
1168,Alison Brie
1169,Eileen Brennan
1170,Treat Williams
1171,Ryan Gosling
1172,Wade Williams
1173,Olivia Wilde
1174,Xander Berkeley
1175,Leleti Khumalo
1176,Michael Weston
1177,Denis O'Hare
1178,Ray Walston
1179,Steven Anthony Lawrence
1180,Michael Lerner
1181,David Rasche
1182,Blair Brown
1183,Martin Donovan
1184,Paul Adelstein
1185,Julia Duffy
1186,Ed Lauter
1187,Bojana Novakovic
1188,Penelope Ann Miller
1189,John Kapelos
1190,Chi Muoi Lo
1191,Cathy Moriarty
1192,Joe Viterelli
1193,Ben Falcone
1194,Sunny Mabrey
1195,Xzibit
1196,Alan Dale
1197,Josh Wingate
1198,Jacob Hopkins
1199,Adriano Giannini
1200,Timothy West
1201,Susanna Thompson
1202,Mia Kirshner
1203,Philip Winchester
1204,Michael Irby
1205,Wilson Cruz
1206,Robert Forster
1207,Vanessa Marshall
1208,Matt Bomer
1209,Kevin Corrigan
1210,Kevin Zegers
1211,Mike O'Malley
1212,Shawn Christian
1213,Camryn Manheim
1214,Ariel Gade
1215,Jamie Foreman
1216,Louis Lombardi
1217,Olivia Munn
1218,Ulrich Thomsen
1219,Mike Dopud
1220,Tania Saulnier
1221,Aaron Kwok
1222,Eddie Peng
1223,Clayne Crawford
1224,Paolo Montalban
1225,Ed Skrein
1226,Stefan Kapicic
1227,Morgan Fairchild
1228,Eric McCormack
1229,Leonard Roberts
1230,Keir O'Donnell
1231,Soleil Moon Frye
1232,Nate Richert
1233,Caroline Rhea
1234,Willie Garson
1235,Taylor Negron
1236,Kurtwood Smith
1237,Richard Crenna
1238,Malcolm Goodwin
1239,Robert Baker
1240,Matt Bushell
1241,Kim Shaw
1242,Kevin Brown
1243,Jessica Szohr
1244,Rob Riggle
1245,Shawn Roberts
1246,Nate Parker
1247,Tristan Mack Wilds
1248,Cynthia Nixon
1249,Leighton Meester
1250,Brian Thompson
1251,Terry O'Neill
1252,Chris Penn
1253,Spencer Wilding
1254,Christopher Lambert
1255,Irene Papas
1256,Mihalis Giannatos
1257,Noureen DeWulf
1258,Barry Corbin
1259,Brian Austin Green
1260,Ashley Scott
1261,Michael Bowen
1262,Siobhan Fallon Hogan
1263,Sam Anderson
1264,Beth Riesgraf
1265,Matthew Gray Gubler
1266,Irene Bedard
1267,Margot Kidder
1268,Holland Taylor
1269,Thomas Ian Nicholas
1270,Alyson Hannigan
1271,Chris Mulkey
1272,Michael Chernus
1273,Fred Rogers
1274,James Wilcox
1275,Natasha Richardson
1276,Ricky Schroder
1277,Kurt Fuller
1278,James Karen
1279,Erika Christensen
1280,Haley Ramm
1281,Dylan Baker
1282,David Carradine
1283,Chiaki Kuriyama
1284,Adam Alexi-Malle
1285,Don S. Davis
1286,Christopher Judge
1287,Gary Jones
1288,Michael Parks
1289,Jack Palance
1290,Brion James
